CourseID,StudentID,Grades
T100007,157,5.0
T100005,157,5.0
T107005,157,5.75
T100000,157,4.0
T100001,157,5.25
T100004,157,5.0
T100006,157,4.75
T107009,157,5.0
T100003,157,5.0
T105001,157,5.5
T108002,157,5.75
T106001,157,5.0
T106006,157,4.5
T200002,157,5.5
T200000,157,5.5
T200001,157,6.0
T207041,157,4.25
T207033,157,5.0
T207040,157,5.0
T200003,157,5.0
T207000,157,5.25
T207037,157,5.5
T207038,157,5.25
T207035,157,5.0
T207002,157,5.0
T206060,157,5.5
T207034,157,5.25
T207036,157,4.75
J2P015,157,5.0
J2D035,157,5.0
12E050SCIENCES,157,5.25
12E051SCIENCES,157,5.75
T206006,157,5.5
T206002,157,5.0
S102013,157,4.25
T100007,295,5.0
T100005,295,5.0
T107005,295,5.25
T100000,295,4.5
T100001,295,5.25
T100004,295,5.0
T100006,295,5.75
T107009,295,6.0
T100003,295,5.25
T108000,295,5.0
T108002,295,5.5
T105001,295,5.0
T108003,295,4.5
T200002,295,5.75
T200000,295,5.75
T200001,295,4.75
T207041,295,5.75
T207033,295,5.0
T207040,295,5.0
T200003,295,5.75
T207000,295,5.0
T207012,295,5.75
T207035,295,5.25
T207038,295,4.75
T207002,295,5.0
T207034,295,5.5
T207036,295,4.5
T207059,295,5.5
J2P201,295,5.75
5869,295,5.0
5870,295,5.5
T208014,295,5.25
T206024,295,4.25
T205004,295,5.0
T100007,185,5.25
T100005,185,4.5
T107005,185,5.25
T100000,185,4.75
T100001,185,4.0
T100004,185,5.0
T100006,185,5.5
T107009,185,5.25
T100003,185,4.5
T108002,185,5.0
T106001,185,4.75
T108000,185,5.25
T106006,185,5.0
T200002,185,5.0
T200000,185,5.0
T200001,185,4.75
T207041,185,5.0
T207033,185,4.5
T207040,185,5.25
T200003,185,4.5
T207000,185,4.5
T207037,185,4.75
T207038,185,5.25
T207012,185,4.75
T207002,185,5.25
T206060,185,5.25
T207004,185,5.25
T207036,185,4.5
J2D035,185,5.25
J2P015,185,4.75
5869,185,5.0
5870,185,5.25
T205020,185,5.0
T208000,185,4.75
T208012,185,5.0
T100007,131,4.5
T100005,131,5.25
T107005,131,5.25
T100000,131,5.25
T100001,131,5.0
T100004,131,4.0
T100006,131,4.75
T107009,131,4.25
T100003,131,5.0
T105001,131,5.5
T108002,131,4.75
T108000,131,5.25
T108003,131,4.5
T200002,131,5.0
T200000,131,5.25
T200001,131,4.25
T207041,131,4.25
T207033,131,4.25
T207040,131,5.0
T200003,131,4.75
T207000,131,4.5
T207035,131,4.25
T207037,131,5.0
T207012,131,4.75
T207004,131,5.0
T207034,131,4.75
T207036,131,5.0
J2D035,131,5.25
T205011,131,5.5
T208012,131,4.5
T205027,131,5.25
S102013,131,5.0
T208014,131,4.25
T100007,16,4.75
T100005,16,4.5
T107005,16,5.0
T100000,16,5.0
T100001,16,4.5
T100004,16,5.25
T100006,16,4.75
T107009,16,6.0
T100003,16,5.25
T108000,16,4.5
T106001,16,4.75
T105001,16,5.25
T106006,16,5.0
T200002,16,5.0
T200000,16,5.5
T200001,16,5.75
T207041,16,4.75
T207033,16,4.75
T207040,16,5.25
T200003,16,4.5
T207000,16,5.0
T207037,16,5.25
T207038,16,4.75
T207012,16,5.5
T207002,16,6.0
T206060,16,4.75
T207034,16,5.25
T207004,16,5.5
J2D035,16,4.75
J2P015,16,4.25
5869,16,5.25
5870,16,5.5
S102013,16,5.0
T205027,16,4.25
T206057,16,4.75
T100007,227,4.75
T100005,227,4.75
T107005,227,5.5
T100000,227,4.75
T100001,227,4.25
T100004,227,6.0
T100006,227,5.0
T107009,227,5.0
T100003,227,4.5
T105001,227,5.25
T108000,227,5.25
T106001,227,4.75
T106006,227,4.5
